# (X, Y) are on NAD83, UTM Zone 15N
X,Y,Z,mag
334200,6629800,198.651329000448,4883
334250,6629800,198.550145845331,4900
334300,6629800,198.465312800772,4951
334350,6629800,198.396745978662,5072
334400,6629800,198.344198815982,5245
334450,6629800,198.307260172951,5317
334500,6629800,198.28535405293,5253
334550,6629800,198.277741612444,5155
334600,6629800,198.283525630184,5072
334650,6629800,198.301657235084,5013
334700,6629800,198.330944857967,4973
334750,6629800,198.370065026815,4944
334800,6629800,198.417574672683,4923
334850,6629800,198.471924952408,4908
334900,6629800,198.531476027018,4898
334950,6629800,198.594512498105,4890
335000,6629800,198.659259922486,4883
335050,6629800,198.7239019255,4877
335100,6629800,198.786597110469,4872
335150,6629800,198.845495771685,4868
335200,6629800,198.898757114701,4863
335250,6629800,198.944566597265,4859
335300,6629800,198.981151440576,4854
335350,6629800,199.006794635347,4849
335400,6629800,199.019847444697,4846
335450,6629800,199.018741524053,4845
335500,6629800,199.002000743761,4845
335550,6629800,198.968252112821,4845
335600,6629800,198.916235744565,4844
335650,6629800,198.844814169069,4842
335700,6629800,198.752980961485,4839
335750,6629800,198.639867712986,4836
335800,6629800,198.504749231753,4834
335850,6629800,198.347047858217,4832
335900,6629800,198.166336981122,4832
335950,6629800,197.962343219362,4832
336000,6629800,197.734947221602,4833
336050,6629800,197.484183391478,4832
336100,6629800,197.210238170222,4827
336150,6629800,196.91344690095,4821
336200,6629800,196.594289758019,4816
336250,6629800,196.25338675834,4813
336300,6629800,195.891492001197,4811
336350,6629800,195.509487136695,4810
336400,6629800,195.108374340071,4808
336450,6629800,194.689269087291,4806
336500,6629800,194.253392854266,4804
336550,6629800,193.802065859785,4801
336600,6629800,193.336698917474,4797
336650,6629800,192.858784743702,4793
336700,6629800,192.36988910662,4785
336750,6629800,191.871641510445,4780
336800,6629800,191.365725726229,4784
336850,6629800,190.853870272261,4797
336900,6629800,190.337839135828,4802
336950,6629800,189.819423160861,4807
337000,6629800,189.300431343275,4819
337050,6629800,188.782682250891,4823
337100,6629800,188.267995542385,4810
337150,6629800,187.758183474212,4799
337200,6629800,187.25504199139,4793
337250,6629800,186.760341496104,4792
337300,6629800,186.275817794061,4790
337350,6629800,185.803163737216,4787
337400,6629800,185.344021615803,4786
337450,6629800,184.899976269738,4785
337500,6629800,184.47254811124,4783
337550,6629800,184.063186357651,4785
337600,6629800,183.673262196434,4793
337650,6629800,183.304061940634,4815
337700,6629800,182.956780610855,4844
337750,6629800,182.63251588115,4863
337800,6629800,182.332262557014,4855
337850,6629800,182.056906781327,4846
337900,6629800,181.807220206225,4823
337950,6629800,181.58385439659,4809
338000,6629800,181.387335893182,4797
338050,6629800,181.2180615885,4789
338100,6629800,181.07629456434,4780
338150,6629800,180.962160033634,4768
338200,6629800,180.875642016428,4758
338250,6629800,180.816581337846,4756
338300,6629800,180.784674906988,4754
338350,6629800,180.779475833746,4750
338400,6629800,180.80039431219,4747
338450,6629800,180.846699187687,4745
338500,6629800,180.91752030818,4744
338550,6629800,181.01185268322,4744
338600,6629800,181.128561962883,4744
338650,6629800,181.266390656834,4744
338700,6629800,181.423965954443,4744
338750,6629800,181.599808425452,4744
338800,6629800,181.792341417299,4744
338850,6629800,181.999901810399,4742
338900,6629800,182.22075208728,4742
338950,6629800,182.453093521546,4743
339000,6629800,182.695079577198,4741
330000,6630000,209.312031379985,5953
330050,6630000,209.443594400992,5896
330100,6630000,209.583693105222,5731
330150,6630000,209.731159928563,5523
330200,6630000,209.884693198885,5341
330250,6630000,210.042867144013,5214
330300,6630000,210.204144167755,5139
330350,6630000,210.366888506272,5096
330400,6630000,210.529381908916,5068
330450,6630000,210.689840219357,5046
330500,6630000,210.846431207631,5027
330550,6630000,210.997293789556,5009
330600,6630000,211.140558242613,4992
330650,6630000,211.274367791119,4976
330700,6630000,211.39689999601,4963
330750,6630000,211.506387437019,4953
330800,6630000,211.601138407419,4945
330850,6630000,211.679557298181,4937
330900,6630000,211.740164290991,4932
330950,6630000,211.78161421643,4929
331000,6630000,211.802713863456,4928
331050,6630000,211.802438103783,4927
331100,6630000,211.77994372765,4927
331150,6630000,211.734581367084,4924
331200,6630000,211.665904489624,4921
331250,6630000,211.573675524781,4920
331300,6630000,211.457869156748,4921
331350,6630000,211.318673331222,4922
331400,6630000,211.156487283545,4922
331450,6630000,210.971916313035,4922
331500,6630000,210.765764283249,4921
331550,6630000,210.539023845363,4921
331600,6630000,210.292864357494,4922
331650,6630000,210.02861799261,4926
